;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
0;ViktoryNik;2018-01-16 15:19;0;1;Meet the woman who takes selfies with street harassers http://www. independent.co.uk/life-style/wom an-selfies-street-harrassers-harrassment-catcalls-men-instagram-noa-jansma-a7983991.html … #сегакажувам;;;#;953270538180407296;https://twitter.com/ViktoryNik/status/953270538180407296
1;WaiterMKD;2018-01-16 15:16;1;3;Добро е ова #СегаКажувам само малку ми е ограничено. Треба да се споделат сите ситуации на кои од х причини СЕГА КАЖУВАМЕ. Од сексуални вознемирувања, до ситуации каде е барано мито, партиски книшки и други 'барања' за да оствариме нешто, некоја работа/услуга!;;;#;953269840076210181;https://twitter.com/WaiterMKD/status/953269840076210181
2;thedjmkd;2018-01-16 15:14;0;0;А каде беше ти да бекнеш за #RapeFugees ? Или за правото на девојките кои не по своја вина се родиле во муслиманско семејство и немаат право на избор на образование или избор на маж? #СегаКажувам дека ова ви е лигаво бесчуствително #Лицемерие .;;;#RapeFugees # #;953269203993268224;https://twitter.com/thedjmkd/status/953269203993268224
3;vBarlakoski;2018-01-16 15:13;0;1;#СегаКажувам може да отвори таква пандорина кутија за оцрнување.. што #ЕвеНеЗнам;;;# #;953268974497779712;https://twitter.com/vBarlakoski/status/953268974497779712
4;Libertas_mk;2018-01-16 15:12;0;0;#СегаКажувам : Фејсбук корисници споделуваат лични приказни за сексуална злоупотреба https:// fb.me/1AmtWYiR7;;;#;953268838229069824;https://twitter.com/Libertas_mk/status/953268838229069824
5;TAKTngo;2018-01-16 15:05;0;1;TAKT supports the initiative #СегаКажувам #TaniTegoj which is against sexual abuse by someone from a position of power. Women in sport are immensely targeted. Let's fight back! #metoo;;;# #TaniTegoj #metoo;953266860652449793;https://twitter.com/TAKTngo/status/953266860652449793
6;Stefan_Tod;2018-01-16 15:04;0;2;#СегаКажувам https:// twitter.com/mackaso9zivoti /status/809804096395939841 …;;;#;953266648294875136;https://twitter.com/Stefan_Tod/status/953266648294875136
7;thedjmkd;2018-01-16 15:00;0;1;#СегаКажувам дека кампањава ви е беден плагијат на #MeToo И обид за дефокус од договор #ЗаедничкаИсторија и #Двојазичност Нит ве гајле за права на жените,нит за нивна заштита. Ќутевте/ќе увезете #RapeFugees . Дабогда парите од грантот за лекови да ги трошите. #МРШ лигави сте. pic.twitter.com/7QeoJZKTnQ;;;# #MeToo # # #RapeFugees #;953265657180835840;https://twitter.com/thedjmkd/status/953265657180835840
8;msoldieroflove;2018-01-16 14:59;0;4;#СегаКажувам дека нема нешто појезиво од тоа да трчаш на кеј кога ќе се стемни и кога нема многу луѓе. Во три наврати досега ми се избацувале манијаци кои ме следеле додека трчам, па морам да глумам Усеин Болт и најбрзо што можам да гледам да се вратам назад.;;;#;953265493867139072;https://twitter.com/msoldieroflove/status/953265493867139072
9;Stefan_Tod;2018-01-16 14:52;0;0;#СегаКажувам https:// twitter.com/DecimalFawn421 0/status/952258267195076608 …;;;#;953263585123356673;https://twitter.com/Stefan_Tod/status/953263585123356673
10;HepiAur;2018-01-16 14:48;0;7;#СегаКажувам не дозволувајте морони да ви влијаат. Би стронг. https:// twitter.com/majskiv/status /953261210765545472 …;;;#;953262793981120514;https://twitter.com/HepiAur/status/953262793981120514
11;makemakema_;2018-01-16 14:45;0;0;За тие манијаците од #СегаКажувам треба/ло ќотек до степен на фрактури.;;;#;953262049521487873;https://twitter.com/makemakema_/status/953262049521487873
12;filipova_a;2018-01-16 14:43;1;11;Ако се направи анализа на #СегаКажувам излага дека факултетите се дувла во кои се гаи и расте еден тон сексуално вознемирување и насилство. Дескоска, еден тон работа има во твои раце.;;;#;953261427242029056;https://twitter.com/filipova_a/status/953261427242029056
13;sinisa_goliOtok;2018-01-16 14:42;0;1;Тето, зезање беше тоа аман! #СегаКажувам;;;#;953261070696833024;https://twitter.com/sinisa_goliOtok/status/953261070696833024
14;perfectlyslow;2018-01-16 14:38;1;4;Ги разгледав постовите на #СегаКажувам Нигде го нема Фрчкоски.;;;#;953260176676741120;https://twitter.com/perfectlyslow/status/953260176676741120
15;bluessence;2018-01-16 14:36;1;2;Името не битно за она што мене ми се случи со професор затоа што е починат. Но, однесувањето се уште живее #сегакажувам;;;#;953259556959858689;https://twitter.com/bluessence/status/953259556959858689
16;iShizik;2018-01-16 14:35;1;1;Ако е грд или стар ќе заврши на #СегаКажувам , ако е згоден или богат ќе стане дечко или сопруг.;;;#;953259405453221889;https://twitter.com/iShizik/status/953259405453221889
17;bluessence;2018-01-16 14:35;1;2;Имињата не се толку битни колку што е битно препознавање на однесувањето. Почесто е отколку што мислите #сегакажувам;;;#;953259348284903424;https://twitter.com/bluessence/status/953259348284903424
18;macaparket;2018-01-16 14:34;0;3;Ги читам некои од реакцииве на #СегаКажувам и стомакот ми се превртува. Најголем дел се од мажи, кои не разбираат како тоа што се објавува можело да биде сексуално вознемирување.;;;#;953259071045545986;https://twitter.com/macaparket/status/953259071045545986
19;BaterijaMk;2018-01-16 14:30;4;6;Го гласавме Зоран Заев иако знаевме дека ќе ја силува Македонија #СегаКажувам;;;#;953258170884947969;https://twitter.com/BaterijaMk/status/953258170884947969
20;TAtanasoska;2018-01-16 14:28;3;4;Релативизација и подбивање со туѓата (страна) мака е знак на длабока несигурност. Последни обиди на апсолутно невидливите да ги има некаде. Многу тажно, неатрактивно и прилично гадно дечки. #СегаКажувам;;;#;953257693212487682;https://twitter.com/TAtanasoska/status/953257693212487682
21;ArslaJeMeniBog;2018-01-16 14:28;0;3;Ден пред завчера многу тешко излегов „понадвор“. Беа тоа маки големи, солзи надојдени #СегаКажувам;;;#;953257596584189953;https://twitter.com/ArslaJeMeniBog/status/953257596584189953
22;zone_pobegulja;2018-01-16 14:28;0;0;Не знам што е пострашно: сите тие одвратни искуства напишани на фејбук под #СегаКажувам или коментарите на нив дека лажат, дека се глупост, смешки и досетки на нечија мака.;;;#;953257581212065792;https://twitter.com/zone_pobegulja/status/953257581212065792
